team1,team1score,team2,team2score,group,date,city,winner,match_number,powerplay_score_teama,powerplay_score_teamb,toss_winner,toss_decision
Delhi Daredevils,111,Kings XI Punjab,112,Indian Premier League44,2010-04-11,Feroz Shah Kotla,Kings XI Punjab,44.0,45,39,Delhi Daredevils,bat
Mumbai Indians,174,Rajasthan Royals,137,Indian Premier League45,2010-04-11,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,45.0,47,34,Rajasthan Royals,field
Deccan Chargers,151,Royal Challengers Bangalore,138,Indian Premier League46,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,46.0,35,38,Royal Challengers Bangalore,field
Mumbai Indians,183,Delhi Daredevils,144,Indian Premier League47,2010-04-13,"Brabourne Stadium, Mumbai",Mumbai Indians,47.0,44,69,Mumbai Indians,bat
Kolkata Knight Riders,139,Chennai Super Kings,143,Indian Premier League48,2010-04-13,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,48.0,22,67,Kolkata Knight Riders,bat
Rajasthan Royals,130,Royal Challengers Bangalore,132,Indian Premier League49,2010-04-14,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,49.0,30,59,Rajasthan Royals,bat
Chennai Super Kings,112,Delhi Daredevils,113,Indian Premier League50,2010-04-15,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Daredevils,50.0,39,33,Chennai Super Kings,bat
Kings XI Punjab,174,Deccan Chargers,178,Indian Premier League51,2010-04-16,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Deccan Chargers,51.0,43,45,Deccan Chargers,field
Mumbai Indians,191,Royal Challengers Bangalore,134,Indian Premier League52,2010-04-17,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,52.0,34,34,Royal Challengers Bangalore,field
Rajasthan Royals,132,Kolkata Knight Riders,133,Indian Premier League53,2010-04-17,"Eden Gardens, Kolkata",Kolkata Knight Riders,53.0,46,42,Rajasthan Royals,bat
Kings XI Punjab,192,Chennai Super Kings,195,Indian Premier League54,2010-04-18,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chennai Super Kings,54.0,49,49,Chennai Super Kings,field
Deccan Chargers,145,Delhi Daredevils,134,Indian Premier League55,2010-04-18,Feroz Shah Kotla,Deccan Chargers,55.0,38,39,Deccan Chargers,bat
Mumbai Indians,133,Kolkata Knight Riders,135,Indian Premier League56,2010-04-19,"Eden Gardens, Kolkata",Kolkata Knight Riders,56.0,42,44,Mumbai Indians,bat
Mumbai Indians,184,Royal Challengers Bangalore,149,Semi Final,2010-04-21,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,,54,44,Mumbai Indians,bat
Chennai Super Kings,142,Deccan Chargers,104,Semi Final,2010-04-22,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,,39,23,Chennai Super Kings,bat
Deccan Chargers,82,Royal Challengers Bangalore,86,3rd Place Play-Off,2010-04-24,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,,27,33,Deccan Chargers,bat
Chennai Super Kings,168,Mumbai Indians,146,Final,2010-04-25,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,,40,33,Chennai Super Kings,bat
Chennai Super Kings,153,Kolkata Knight Riders,151,Indian Premier League1,2011-04-08,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,1.0,45,52,Chennai Super Kings,bat
Deccan Chargers,137,Rajasthan Royals,141,Indian Premier League2,2011-04-09,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,2.0,44,31,Rajasthan Royals,field
Kochi Tuskers Kerala,161,Royal Challengers Bangalore,162,Indian Premier League3,2011-04-09,Nehru Stadium,Royal Challengers Bangalore,3.0,61,48,Kochi Tuskers Kerala,bat
Delhi Daredevils,95,Mumbai Indians,99,Indian Premier League4,2011-04-10,Feroz Shah Kotla,Mumbai Indians,4.0,38,31,Delhi Daredevils,bat
Kings XI Punjab,112,Pune Warriors,113,Indian Premier League5,2011-04-10,"Dr DY Patil Sports Academy, Mumbai",Pune Warriors,5.0,36,44,Kings XI Punjab,bat
Kolkata Knight Riders,163,Deccan Chargers,154,Indian Premier League6,2011-04-11,"Eden Gardens, Kolkata",Kolkata Knight Riders,6.0,46,30,Kolkata Knight Riders,bat
Delhi Daredevils,151,Rajasthan Royals,152,Indian Premier League7,2011-04-12,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,7.0,30,57,Delhi Daredevils,bat
Royal Challengers Bangalore,140,Mumbai Indians,143,Indian Premier League8,2011-04-12,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,8.0,24,40,Mumbai Indians,field
Chennai Super Kings,188,Kings XI Punjab,193,Indian Premier League9,2011-04-13,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,9.0,31,65,Kings XI Punjab,field
Kochi Tuskers Kerala,148,Pune Warriors,151,Indian Premier League10,2011-04-13,"Dr DY Patil Sports Academy, Mumbai",Pune Warriors,10.0,37,44,Kochi Tuskers Kerala,bat
Deccan Chargers,175,Royal Challengers Bangalore,142,Indian Premier League11,2011-04-14,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,11.0,41,28,Royal Challengers Bangalore,field
Rajasthan Royals,159,Kolkata Knight Riders,160,Indian Premier League12,2011-04-15,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,12.0,31,62,Kolkata Knight Riders,field
Mumbai Indians,182,Kochi Tuskers Kerala,184,Indian Premier League13,2011-04-15,"Wankhede Stadium, Mumbai",Kochi Tuskers Kerala,13.0,44,50,Kochi Tuskers Kerala,field
Chennai Super Kings,183,Royal Challengers Bangalore,162,Indian Premier League14,2011-04-16,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,14.0,45,33,Chennai Super Kings,bat
Deccan Chargers,165,Kings XI Punjab,166,Indian Premier League15,2011-04-16,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kings XI Punjab,15.0,48,62,Kings XI Punjab,field
Pune Warriors,187,Delhi Daredevils,190,Indian Premier League16,2011-04-17,"Dr DY Patil Sports Academy, Mumbai",Delhi Daredevils,16.0,63,67,Delhi Daredevils,field
Rajasthan Royals,81,Kolkata Knight Riders,85,Indian Premier League17,2011-04-17,"Eden Gardens, Kolkata",Kolkata Knight Riders,17.0,36,26,Kolkata Knight Riders,field
Chennai Super Kings,131,Kochi Tuskers Kerala,135,Indian Premier League18,2011-04-18,Nehru Stadium,Kochi Tuskers Kerala,18.0,42,49,Kochi Tuskers Kerala,field
Deccan Chargers,168,Delhi Daredevils,152,Indian Premier League19,2011-04-19,Feroz Shah Kotla,Deccan Chargers,19.0,43,38,Deccan Chargers,bat
Pune Warriors,118,Mumbai Indians,124,Indian Premier League21,2011-04-20,"Wankhede Stadium, Mumbai",Mumbai Indians,21.0,33,32,Pune Warriors,bat
Kochi Tuskers Kerala,132,Kolkata Knight Riders,126,Indian Premier League22,2011-04-20,"Eden Gardens, Kolkata",Kochi Tuskers Kerala,22.0,45,37,Kolkata Knight Riders,field
Kings XI Punjab,195,Rajasthan Royals,147,Indian Premier League23,2011-04-21,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,23.0,77,45,Rajasthan Royals,field
Mumbai Indians,164,Chennai Super Kings,156,Indian Premier League25,2011-04-22,"Wankhede Stadium, Mumbai",Mumbai Indians,25.0,40,44,Chennai Super Kings,field
Kolkata Knight Riders,171,Royal Challengers Bangalore,175,Indian Premier League24,2011-04-22,"Eden Gardens, Kolkata",Royal Challengers Bangalore,24.0,50,57,Royal Challengers Bangalore,field
Delhi Daredevils,231,Kings XI Punjab,202,Indian Premier League26,2011-04-23,Feroz Shah Kotla,Delhi Daredevils,26.0,70,46,Kings XI Punjab,field
Mumbai Indians,172,Deccan Chargers,135,Indian Premier League27,2011-04-24,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,27.0,57,41,Deccan Chargers,field
Kochi Tuskers Kerala,109,Rajasthan Royals,111,Indian Premier League28,2011-04-24,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,28.0,32,38,Rajasthan Royals,field
Chennai Super Kings,142,Pune Warriors,117,Indian Premier League29,2011-04-25,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,29.0,45,40,Pune Warriors,field
Delhi Daredevils,160,Royal Challengers Bangalore,161,Indian Premier League30,2011-04-26,Feroz Shah Kotla,Royal Challengers Bangalore,30.0,42,65,Royal Challengers Bangalore,field
Pune Warriors,141,Chennai Super Kings,145,Indian Premier League31,2011-04-27,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,31.0,37,28,Pune Warriors,bat
Deccan Chargers,129,Kochi Tuskers Kerala,74,Indian Premier League32,2011-04-27,Nehru Stadium,Deccan Chargers,32.0,20,29,Kochi Tuskers Kerala,field
Kolkata Knight Riders,148,Delhi Daredevils,131,Indian Premier League33,2011-04-28,Feroz Shah Kotla,Kolkata Knight Riders,33.0,42,41,Delhi Daredevils,field
Mumbai Indians,94,Rajasthan Royals,95,Indian Premier League34,2011-04-29,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,34.0,31,18,Rajasthan Royals,field
Royal Challengers Bangalore,181,Pune Warriors,155,Indian Premier League35,2011-04-29,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,35.0,57,42,Pune Warriors,field
Delhi Daredevils,157,Kochi Tuskers Kerala,119,Indian Premier League36,2011-04-30,Nehru Stadium,Delhi Daredevils,36.0,34,37,Delhi Daredevils,bat
Kings XI Punjab,119,Kolkata Knight Riders,120,Indian Premier League37,2011-04-30,"Eden Gardens, Kolkata",Kolkata Knight Riders,37.0,40,45,Kolkata Knight Riders,field
Pune Warriors,143,Rajasthan Royals,144,Indian Premier League38,2011-05-01,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,38.0,49,34,Rajasthan Royals,field
Chennai Super Kings,165,Deccan Chargers,146,Indian Premier League39,2011-05-01,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,39.0,34,64,Chennai Super Kings,bat
Mumbai Indians,159,Kings XI Punjab,136,Indian Premier League40,2011-05-02,"Wankhede Stadium, Mumbai",Mumbai Indians,40.0,35,24,Kings XI Punjab,field
Delhi Daredevils,140,Kochi Tuskers Kerala,141,Indian Premier League41,2011-05-02,Feroz Shah Kotla,Kochi Tuskers Kerala,41.0,42,67,Kochi Tuskers Kerala,field
Kolkata Knight Riders,169,Deccan Chargers,149,Indian Premier League42,2011-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,42.0,41,41,Deccan Chargers,field
Rajasthan Royals,147,Chennai Super Kings,149,Indian Premier League43,2011-05-04,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,43.0,47,43,Rajasthan Royals,bat
Mumbai Indians,160,Pune Warriors,139,Indian Premier League44,2011-05-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,44.0,49,31,Pune Warriors,field
Kochi Tuskers Kerala,156,Kolkata Knight Riders,139,Indian Premier League45,2011-05-05,Nehru Stadium,Kochi Tuskers Kerala,45.0,35,43,Kolkata Knight Riders,field
Deccan Chargers,175,Delhi Daredevils,179,Indian Premier League46,2011-05-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Delhi Daredevils,46.0,43,29,Delhi Daredevils,field
Royal Challengers Bangalore,205,Kings XI Punjab,120,Indian Premier League47,2011-05-06,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,47.0,48,38,Kings XI Punjab,field
Chennai Super Kings,114,Kolkata Knight Riders,61,Indian Premier League48,2011-05-07,"Eden Gardens, Kolkata",Kolkata Knight Riders,48.0,15,33,Chennai Super Kings,bat
Mumbai Indians,178,Delhi Daredevils,146,Indian Premier League49,2011-05-07,"Wankhede Stadium, Mumbai",Mumbai Indians,49.0,50,23,Delhi Daredevils,field
Kochi Tuskers Kerala,125,Royal Challengers Bangalore,128,Indian Premier League50,2011-05-08,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,50.0,49,79,Kochi Tuskers Kerala,bat
Kings XI Punjab,119,Pune Warriors,120,Indian Premier League51,2011-05-08,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Pune Warriors,51.0,34,40,Kings XI Punjab,bat
Chennai Super Kings,196,Rajasthan Royals,133,Indian Premier League52,2011-05-09,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,52.0,55,48,Rajasthan Royals,field
Deccan Chargers,136,Pune Warriors,137,Indian Premier League53,2011-05-10,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pune Warriors,53.0,50,52,Deccan Chargers,bat
Kings XI Punjab,163,Mumbai Indians,87,Indian Premier League54,2011-05-10,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,54.0,39,33,Mumbai Indians,field
Rajasthan Royals,146,Royal Challengers Bangalore,151,Indian Premier League55,2011-05-11,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,55.0,43,66,Royal Challengers Bangalore,field
Chennai Super Kings,176,Delhi Daredevils,158,Indian Premier League56,2011-05-12,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,56.0,42,52,Chennai Super Kings,bat
Kochi Tuskers Kerala,178,Kings XI Punjab,181,Indian Premier League57,2011-05-13,Holkar Cricket Stadium,Kings XI Punjab,57.0,62,49,Kings XI Punjab,field
Kolkata Knight Riders,89,Royal Challengers Bangalore,105,Indian Premier League58,2011-05-14,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,58.0,33,65,Royal Challengers Bangalore,field
Deccan Chargers,135,Mumbai Indians,125,Indian Premier League59,2011-05-14,"Wankhede Stadium, Mumbai",Deccan Chargers,59.0,32,26,Deccan Chargers,bat
Kings XI Punjab,170,Delhi Daredevils,141,Indian Premier League60,2011-05-15,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab,60.0,43,42,Delhi Daredevils,field
Rajasthan Royals,97,Kochi Tuskers Kerala,98,Indian Premier League61,2011-05-15,Holkar Cricket Stadium,Kochi Tuskers Kerala,61.0,32,87,Kochi Tuskers Kerala,field
Pune Warriors,136,Deccan Chargers,138,Indian Premier League62,2011-05-16,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,62.0,39,57,Deccan Chargers,field
Kings XI Punjab,232,Royal Challengers Bangalore,121,Indian Premier League63,2011-05-17,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab,63.0,30,34,Kings XI Punjab,bat
Chennai Super Kings,152,Kochi Tuskers Kerala,141,Indian Premier League64,2011-05-18,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,64.0,41,40,Chennai Super Kings,bat
Pune Warriors,118,Kolkata Knight Riders,119,Indian Premier League65,2011-05-19,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,65.0,29,44,Kolkata Knight Riders,field
Mumbai Indians,133,Rajasthan Royals,134,Indian Premier League66,2011-05-20,"Wankhede Stadium, Mumbai",Rajasthan Royals,66.0,26,52,Mumbai Indians,bat
Deccan Chargers,198,Kings XI Punjab,116,Indian Premier League67,2011-05-21,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Deccan Chargers,67.0,58,45,Kings XI Punjab,field
Delhi Daredevils,56,Pune Warriors,0,Indian Premier League68,2011-05-21,Feroz Shah Kotla,no result,68.0,33,0,Delhi Daredevils,bat
Chennai Super Kings,128,Royal Challengers Bangalore,129,Indian Premier League69,2011-05-22,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,69.0,23,44,Royal Challengers Bangalore,field
Kolkata Knight Riders,175,Mumbai Indians,178,Indian Premier League70,2011-05-22,"Eden Gardens, Kolkata",Mumbai Indians,70.0,46,54,Mumbai Indians,field
Royal Challengers Bangalore,175,Chennai Super Kings,177,Qualifier 1,2011-05-24,"Wankhede Stadium, Mumbai",Chennai Super Kings,,44,25,Chennai Super Kings,field
Kolkata Knight Riders,147,Mumbai Indians,148,Elimination Final,2011-05-25,"Wankhede Stadium, Mumbai",Mumbai Indians,,25,62,Mumbai Indians,field
Royal Challengers Bangalore,185,Mumbai Indians,142,Qualifier 2,2011-05-27,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,,68,52,Mumbai Indians,field
Chennai Super Kings,205,Royal Challengers Bangalore,147,Final,2011-05-28,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,,56,47,Chennai Super Kings,bat
Chennai Super Kings,112,Mumbai Indians,115,Indian Premier League1,2012-04-04,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,1.0,42,53,Mumbai Indians,field
Kolkata Knight Riders,97,Delhi Daredevils,100,Indian Premier League2,2012-04-05,"Eden Gardens, Kolkata",Delhi Daredevils,2.0,46,48,Delhi Daredevils,field
Pune Warriors,129,Mumbai Indians,101,Indian Premier League3,2012-04-06,"Wankhede Stadium, Mumbai",Pune Warriors,3.0,30,27,Mumbai Indians,field
Rajasthan Royals,191,Kings XI Punjab,160,Indian Premier League4,2012-04-06,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,4.0,57,45,Kings XI Punjab,field
Royal Challengers Bangalore,157,Delhi Daredevils,137,Indian Premier League5,2012-04-07,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,5.0,46,46,Delhi Daredevils,field
Chennai Super Kings,193,Deccan Chargers,119,Indian Premier League6,2012-04-07,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Chennai Super Kings,6.0,44,45,Deccan Chargers,field
Rajasthan Royals,164,Kolkata Knight Riders,142,Indian Premier League7,2012-04-08,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,7.0,37,27,Kolkata Knight Riders,field
Pune Warriors,166,Kings XI Punjab,144,Indian Premier League8,2012-04-08,Subrata Roy Sahara Stadium,Pune Warriors,8.0,38,19,Pune Warriors,bat
Deccan Chargers,138,Mumbai Indians,142,Indian Premier League9,2012-04-09,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Mumbai Indians,9.0,45,29,Deccan Chargers,bat
Kolkata Knight Riders,165,Royal Challengers Bangalore,123,Indian Premier League10,2012-04-10,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,10.0,60,20,Royal Challengers Bangalore,field
Chennai Super Kings,110,Delhi Daredevils,111,Indian Premier League11,2012-04-10,Feroz Shah Kotla,Delhi Daredevils,11.0,41,50,Delhi Daredevils,field
Mumbai Indians,197,Rajasthan Royals,170,Indian Premier League12,2012-04-11,"Wankhede Stadium, Mumbai",Mumbai Indians,12.0,54,44,Rajasthan Royals,field
Royal Challengers Bangalore,205,Chennai Super Kings,208,Indian Premier League13,2012-04-12,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,13.0,56,52,Royal Challengers Bangalore,bat
Pune Warriors,115,Kings XI Punjab,116,Indian Premier League14,2012-04-12,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,14.0,29,38,Kings XI Punjab,field
Rajasthan Royals,131,Kolkata Knight Riders,137,Indian Premier League15,2012-04-13,"Eden Gardens, Kolkata",Kolkata Knight Riders,15.0,45,36,Rajasthan Royals,bat
Chennai Super Kings,155,Pune Warriors,156,Indian Premier League16,2012-04-14,Subrata Roy Sahara Stadium,Pune Warriors,16.0,43,56,Chennai Super Kings,bat
Kings XI Punjab,134,Kolkata Knight Riders,132,Indian Premier League17,2012-04-15,"Eden Gardens, Kolkata",Kings XI Punjab,17.0,26,48,Kolkata Knight Riders,field
Rajasthan Royals,195,Royal Challengers Bangalore,136,Indian Premier League18,2012-04-15,"M Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,18.0,43,54,Rajasthan Royals,bat
Mumbai Indians,92,Delhi Daredevils,93,Indian Premier League19,2012-04-16,"Wankhede Stadium, Mumbai",Delhi Daredevils,19.0,23,41,Delhi Daredevils,field
Deccan Chargers,196,Rajasthan Royals,197,Indian Premier League20,2012-04-17,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,20.0,57,62,Deccan Chargers,bat
Pune Warriors,182,Royal Challengers Bangalore,186,Indian Premier League21,2012-04-17,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,21.0,58,42,Pune Warriors,bat
Kings XI Punjab,124,Kolkata Knight Riders,127,Indian Premier League22,2012-04-18,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kolkata Knight Riders,22.0,45,53,Kings XI Punjab,bat
Deccan Chargers,157,Delhi Daredevils,162,Indian Premier League23,2012-04-19,Feroz Shah Kotla,Delhi Daredevils,23.0,50,34,Deccan Chargers,bat
Chennai Super Kings,164,Pune Warriors,151,Indian Premier League24,2012-04-19,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,24.0,42,53,Pune Warriors,field
Kings XI Punjab,163,Royal Challengers Bangalore,166,Indian Premier League25,2012-04-20,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,25.0,41,36,Royal Challengers Bangalore,field
